,tvshow,year,rating,votes,description
0,Nine Perfect Strangers,2021,7.4,4097.0,Nine stressed city dwellers visit a boutique health-and-wellness resort that promises healing and transformation. The resort's director is a woman on a mission to reinvigorate their tired minds and bodies.
1,What If...?,2021,7.6,13914.0,"Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory."
2,The Walking Dead,2010,8.2,893255.0,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
3,The White Lotus,2021,7.7,21104.0,"Set in a tropical resort, it follows the exploits of various guests and employees over the span of a week."
4,American Horror Story,2011,8.0,289403.0,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, and a bleak beach town and de... Read all"
5,Ted Lasso,2020,8.7,78341.0,Follows an American football coach Ted Lasso who heads to the U.K. to manage a struggling London football team in the top flight of English football.
6,The Chair,2021,7.3,5403.0,"At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department."
7,Clickbait,2021,7.4,5117.0,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why."
8,See,2019,7.6,50688.0,"Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins is born with sight."
9,Titans,2018,7.6,77072.0,A team of young superheroes combat evil and other perils.
10,Game of Thrones,2011,9.2,1864880.0,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
11,Outer Banks,2020,7.6,32896.0,A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.
12,Brooklyn Nine-Nine,2013,8.4,255075.0,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct."
13,Chapelwaite,2021,7.5,876.0,"In the 1850s, Captain Charles Boone relocates his family to his ancestral home in the small, sleepy town of Preacher's Corners. Charles will soon have to confront the secrets of his family's history and fight to end the darkness."
14,Rick and Morty,2013,9.2,424783.0,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
15,Brand New Cherry Flavor,2021,7.3,5324.0,"Lisa Nova, an aspiring film director in the sun-drenched but seamy world of 1990 Los Angeles, embarks on a mind-altering journey of supernatural revenge that gets nightmarishly out of control."
16,American Horror Stories,2021,6.1,8655.0,"An anthology series of stand-alone episodes delving into horror myths, legends, and lore."
17,Downton Abbey,2010,8.7,174200.0,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.
18,Manifest,2018,7.1,35658.0,"A commercial airliner suddenly reappears after being missing for five years. As those aboard reintegrate into society, they experience guiding voices and visions of events yet to occur, and soon a deeper mystery unfolds."
19,Grey's Anatomy,2005,7.5,269289.0,A drama centered on the personal and professional lives of five surgical interns and their supervisors.
20,The Defeated,2020,6.9,2249.0,Max McLaughlin is an American cop who arrives in Berlin in the summer of 1946 to help create a police force in the chaotic aftermath of the war.
21,The Office,2005,8.9,462943.0,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium."
22,Modern Love,2019,8.0,26383.0,"TV series based on the New York Times' column that explores relationships, love and the human connection."
23,Breaking Bad,2008,9.4,1570488.0,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.
24,The Sopranos,1999,9.2,328786.0,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling."
25,Peaky Blinders,2013,8.8,402276.0,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby."
26,Yellowstone,2018,8.6,43135.0,A ranching family in Montana faces off against others encroaching on their land.
27,Lucifer,2016,8.1,270213.0,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.
28,Friends,1994,8.9,891263.0,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.
29,Loki,2021,8.4,181337.0,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”
30,Criminal Minds,2005,8.0,173989.0,"The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again."
31,The Handmaid's Tale,2017,8.4,199522.0,"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship."
32,Stranger Things,2016,8.7,900670.0,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
33,Money Heist,2017,8.3,350823.0,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
34,Truth Be Told,2019,7.1,7797.0,A true-crime podcaster tries to solve the mystery surrounding a family patriarch's death.
35,The Good Doctor,2017,8.1,74521.0,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital."
36,Vikings,2013,8.5,465533.0,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
37,Supernatural,2005,8.4,406979.0,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth."
38,Dexter,2006,8.6,670946.0,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series."
39,The Witcher,2019,8.2,343995.0,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
40,Hit & Run,2021,7.2,5079.0,A happily married man's life is turned upside down when his wife is killed in a mysterious hit-and-run accident in Tel Aviv.
41,Reservation Dogs,2021,8.2,1993.0,Comedy series about four Native American teenagers growing up on a reservation in eastern Oklahoma.
42,The Boys,2019,8.7,304987.0,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
44,Mare of Easttown,2021,8.5,93664.0,A detective in a small Pennsylvania town investigates a local murder while trying to keep her life from falling apart.
45,NCIS,2003,7.7,126952.0,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs."
46,Heels,2021,8.0,1299.0,"Two brothers and rivals - one a villain, or ""heel,"" in the ring; the other a hero, or ""face,"" war over their late father's wrestling promotion, vying for national attention in small-town Georgia."
47,Law & Order: Special Victims Unit,1999,8.0,89191.0,"This series follows the Special Victims Unit, a specially trained squad of detectives in the N.Y.P.D., who investigate sexually related crimes."
48,Friday Night Lights,2006,8.6,58652.0,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor."
49,Animal Kingdom,2016,8.2,28094.0,"Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities."
50,Modern Family,2009,8.4,382455.0,Three different but related families face trials and tribulations in their own uniquely comedic ways.
51,Grace and Frankie,2015,8.3,42722.0,"Finding out that their husbands are not just work partners, but have also been romantically involved for the last twenty years, two women with an already strained relationship try to cope with the circumstances together."
52,The Big Bang Theory,2007,8.1,747819.0,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.
53,The Mandalorian,2019,8.8,349951.0,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic."
54,The Blacklist,2013,8.0,216007.0,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her."
55,The Flash,2014,7.6,323345.0,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City."
56,Better Call Saul,2015,8.8,353445.0,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico."
57,American Crime Story,2016,8.4,84022.0,An anthology series centered around America's most notorious crimes and criminals.
58,Britannia,2017,6.8,13167.0,"In 43 AD, the Roman Army returns to crush the Celtic heart of Britannia."
59,The Morning Show,2019,8.4,64313.0,"An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual."
60,Succession,2018,8.6,58691.0,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company."
61,Schitt's Creek,2015,8.5,93571.0,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
62,Suits,2011,8.4,376882.0,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers."
63,Outlander,2014,8.4,136467.0,An English combat nurse from 1945 is mysteriously swept back in time to 1743.
65,The Crown,2016,8.6,172210.0,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.
66,Attack on Titan,2013,9.0,248629.0,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
67,Mr. Robot,2015,8.5,348672.0,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
68,Virgin River,2019,7.4,29230.0,"Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds."
69,Doctor Who,2005,8.6,205872.0,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
70,Lost,2004,8.3,515764.0,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.
71,It's Always Sunny in Philadelphia,2005,8.8,199453.0,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.
72,Midsomer Murders,1997,7.7,26873.0,A veteran Detective Chief Inspector and his young Sergeant investigate murders around the regional community of Midsomer County.
73,What We Do in the Shadows,2019,8.5,43608.0,"A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island."
74,Sex/Life,2021,5.3,14683.0,A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.
75,Riverdale,2017,6.8,128050.0,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries."
76,Westworld,2016,8.6,448579.0,"Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence."
77,Black Mirror,2011,8.8,474982.0,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
78,How I Met Your Mother,2005,8.3,628612.0,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.
79,The Wire,2002,9.3,301259.0,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement."
80,Doom Patrol,2019,7.9,39663.0,The adventures of an idealistic mad scientist and his field team of superpowered outcasts.
81,Archer,2009,8.6,142951.0,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.
82,Ozark,2017,8.4,209602.0,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
83,Shameless,2011,8.5,214773.0,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
84,Gossip Girl,2021,5.3,5640.0,Revival of the TV series centering on a new generation of New York private school teens using social media to spread gossip.
85,Bones,2005,7.8,145506.0,"Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones."
86,Fantasy Island,2021,5.4,1021.0,"People who walk in with a desire, but end up reborn to themselves through the magical realism of Fantasy Island."
87,All American,2018,7.6,8039.0,"When a star high school football player from South Central is recruited to play for Beverly Hills High School, two separate worlds collide."
88,House,2004,8.7,428788.0,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.
89,The Last Kingdom,2015,8.4,96260.0,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright."
90,Fargo,2014,8.9,344112.0,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
91,The Vampire Diaries,2009,7.7,295598.0,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers."
92,Bosch,2014,8.4,56645.0,An L.A.P.D. homicide detective works to solve the murder of a thirteen-year-old boy while standing trial in federal court for the murder of a serial killer.
93,True Detective,2014,8.9,519734.0,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law."
94,ER,1994,7.7,53440.0,"The lives, loves and losses of the doctors and nurses of Chicago's County General Hospital."
95,Stargirl,2020,7.3,12960.0,Teenager Courtney Whitmore joins the Justice Society of America. Based on the character from DC Comics.
96,Sons of Anarchy,2008,8.5,272682.0,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.
97,Chicago Fire,2012,8.0,43433.0,"The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level."
98,Superman and Lois,2021,7.9,19444.0,"Follow the world's most famous super hero and comic books' most famous journalist as they deal with all the stress, pressures, and complexities that come with being working parents in today's society."
99,Community,2009,8.5,233731.0,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.
